# Constructed from biom file
#OTU ID	P8-rep4	P5-rep4	P9-rep1	P9-rep5	P9-rep4	P5-rep1	P8-rep2	P8-rep1	P9-rep2	P9-rep3	P8-rep3	P5-rep5	P5-rep2	P5-rep3	P8-rep5
e5400356daabbc5a41f935af70513043	1598.0	630.0	297.0	795.0	1449.0	359.0	2160.0	265.0	220.0	1736.0	1673.0	420.0	714.0	234.0	1850.0
7cbebea20e305a557ffc3dc23bae61ae	1111.0	36.0	127.0	335.0	610.0	24.0	1502.0	202.0	54.0	699.0	1089.0	26.0	43.0	19.0	1216.0
4dc5023fdc00f325e169fced16dca21c	1022.0	93.0	323.0	863.0	2013.0	50.0	1855.0	212.0	254.0	1387.0	1048.0	88.0	108.0	48.0	1028.0
4c076cffb4dc7aaae47cb237d7067066	739.0	942.0	104.0	347.0	814.0	590.0	611.0	113.0	183.0	1069.0	476.0	546.0	832.0	331.0	742.0
3c4c98cf9b1264b89f9ecd0812a0f7d8	632.0	195.0	224.0	571.0	1259.0	113.0	615.0	88.0	157.0	1190.0	530.0	135.0	200.0	76.0	611.0
ba22b4e380c113550221ee14a5dc5119	575.0	29.0	45.0	132.0	151.0	11.0	940.0	94.0	28.0	197.0	541.0	17.0	16.0	7.0	627.0
2467e65a973ac677dcebdf6e430c451f	563.0	27.0	0.0	0.0	0.0	11.0	725.0	80.0	0.0	0.0	531.0	11.0	6.0	1.0	588.0
417f5119220266841988ce051341d15a	493.0	29.0	0.0	0.0	0.0	12.0	888.0	89.0	0.0	0.0	449.0	15.0	12.0	12.0	499.0
74c0aa7746daffa6653f36543da55be5	470.0	28.0	25.0	44.0	19.0	5.0	444.0	53.0	9.0	68.0	376.0	9.0	30.0	4.0	417.0
d9b53237401a5cea97b79cebeb8a3368	391.0	8.0	8.0	11.0	36.0	35.0	407.0	57.0	2.0	20.0	312.0	30.0	82.0	21.0	321.0
8d12eaf13e0f07f5d58a0538e023e17c	325.0	126.0	41.0	133.0	292.0	73.0	577.0	61.0	42.0	214.0	351.0	79.0	111.0	74.0	368.0
502e9d454ed38b700ff3690d1abb03ca	314.0	212.0	12.0	18.0	65.0	152.0	344.0	50.0	10.0	99.0	258.0	130.0	258.0	116.0	297.0
4e70f095de0f5dd3bdf9097a37f473ca	311.0	159.0	40.0	123.0	331.0	134.0	539.0	50.0	55.0	286.0	295.0	148.0	171.0	94.0	331.0
59d624cdb5982075e521266d955c0dc1	288.0	11.0	14.0	29.0	50.0	9.0	575.0	79.0	5.0	76.0	425.0	5.0	5.0	7.0	475.0
77cce868c5774ffd0ac4fafda8175567	262.0	0.0	0.0	0.0	0.0	0.0	304.0	26.0	0.0	0.0	236.0	0.0	0.0	0.0	282.0
198f2904c153c8389b4bde4486afc98a	262.0	0.0	52.0	168.0	272.0	0.0	511.0	79.0	45.0	316.0	229.0	0.0	0.0	0.0	221.0
d0d87133b4aa57e7639b3fd0f4b34ad1	259.0	0.0	8.0	20.0	25.0	2.0	444.0	44.0	5.0	34.0	280.0	0.0	0.0	0.0	272.0
04b352d3bdf0fef7d84abd3288d959b2	237.0	33.0	7.0	7.0	11.0	44.0	449.0	58.0	3.0	14.0	272.0	40.0	37.0	40.0	316.0
cbba0c6fdcb21e6ed7638ec21ead1e69	235.0	4.0	0.0	0.0	0.0	3.0	365.0	41.0	0.0	0.0	297.0	2.0	1.0	0.0	294.0
af63c6068e9e0baafb3f4f4b31f388e5	217.0	472.0	31.0	86.0	200.0	330.0	362.0	58.0	41.0	234.0	218.0	275.0	426.0	175.0	296.0
1e9da46c9fe886709bc23d69564a3f68	215.0	12.0	16.0	82.0	112.0	3.0	226.0	39.0	19.0	149.0	140.0	12.0	15.0	14.0	163.0
c455d457c0965c90b425e096e5a03f0e	213.0	80.0	36.0	78.0	161.0	54.0	306.0	47.0	20.0	179.0	241.0	70.0	102.0	34.0	312.0
f7d391e50cf6bdaf5bd2468967708fef	207.0	1.0	9.0	28.0	77.0	2.0	301.0	35.0	13.0	42.0	156.0	2.0	5.0	0.0	163.0
990a7ad805caf7344a54e0ac3d2aa0d6	204.0	0.0	0.0	5.0	0.0	0.0	291.0	42.0	0.0	0.0	181.0	0.0	0.0	0.0	211.0
3f57bbe2bf16f43cbdf8f8161160bdf9	196.0	5.0	2.0	0.0	3.0	4.0	308.0	45.0	0.0	5.0	256.0	0.0	6.0	3.0	266.0
fcec99b2b22c579419021ddc9e707b98	194.0	95.0	37.0	98.0	160.0	60.0	227.0	28.0	24.0	147.0	167.0	63.0	133.0	47.0	205.0
289c4902d90b4bdcafda1d7fbd32f45f	188.0	205.0	84.0	217.0	392.0	103.0	227.0	36.0	59.0	415.0	152.0	143.0	183.0	83.0	175.0
542226d23ab5b78d620f5fcf6a757bb9	185.0	0.0	0.0	0.0	0.0	0.0	255.0	40.0	0.0	0.0	148.0	0.0	0.0	0.0	184.0
5b9d960b65678d3f51792757264365aa	172.0	7.0	12.0	23.0	24.0	4.0	166.0	16.0	4.0	68.0	73.0	9.0	7.0	3.0	143.0
90f9cf692fb273e89127ca820f380224	170.0	2.0	8.0	7.0	25.0	0.0	216.0	23.0	1.0	30.0	128.0	0.0	2.0	2.0	162.0
24d537ecb0c619622612d6e4291eefc1	164.0	0.0	0.0	0.0	1.0	0.0	198.0	34.0	0.0	0.0	196.0	0.0	0.0	0.0	180.0
