sequence,1,2,3,4
0003670ded0674981fb6ace93921cf9d,-10.270096043107074,-0.8600751068262857,1.5770721395224818, p__Proteobacteria
0004e798b8a4a52c71075db3de6b86a4,0.7050720642417904,19.543294272522573,-5.480422992589403, p__Actinobacteria
002135c6618a6f14de790a83e7c0af23,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Verrucomicrobia
00434f956e26709e00b0d6d5a2c1612e,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Firmicutes
0048246a4fee28346aeb74a77069ff84,-4.365588041293011,13.483356995218896,-4.562382467693555, p__Proteobacteria
00625f3f34fb0792d87a0b1c558e419e,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Acidobacteria
00869ad071c3d09ad72110ed88237bb9,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Proteobacteria
00b6f93e36adaa7593aa7f991843ea0f,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Verrucomicrobia
00e0008348f66e14f36da59d3360a5a2,-5.752162753580272,-1.8538406905772675,1.1038189199879038, p__Proteobacteria
00e20cff115eb4be507ac4240a98a154,1.6079053561987247,5.040650932162563,-1.304635025246793, p__Actinobacteria
0118d9f89f9f30a90140c5b2f78d6d8c,8.283972484555331,-2.898011342279709,13.627542032192382, p__Verrucomicrobia
01266d13939ff3615d44556389b20b60,17.54803390346182,-7.756052568252526,-8.113629573534192, p__Proteobacteria
014b2544b1e6e7e9449b5cf7e543c875,0.7050720642417904,19.543294272522573,-5.480422992589403, p__Verrucomicrobia
015a284700088e5d72267b88b75de28c,6.148979422492163,-1.772310068326255,-1.6933548712503979, p__Proteobacteria
016ebf06b9f261861c90fad86eb526f2,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Proteobacteria
0184c653f5a72e6df581ef53c6c0d1a0,28.998282395281592,-1.335646876159676,16.048189514719866, p__Verrucomicrobia
01d62540f4a773baaa362feda854a4dd,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Acidobacteria
01eead297a6851a3364f08bc958260bd,-8.802417612172261,-3.655641469933802,0.821136257276799, p__Verrucomicrobia
01f38128fd85e6f0549cffa197351589,-5.47691386594609,-0.6263117528891795,-1.841389040855022, p__Actinobacteria
020b00d3d888880952005c3a14d543e6,-5.550844561632759,2.2100739848748168,2.6742155707203956, p__Firmicutes
021c055aca66b0c78d0ba855c71757b0,-3.084175199114576,-7.231398418854075,-2.925187524296219, p__Proteobacteria
02206b2ed3da7e56a81a0b37787bdba1,-5.78284899598734,-4.888409261677706,6.576187914368382, p__Proteobacteria
023cc787edf15bff34dae16c3a84dc4e,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Acidobacteria
023eb1bb61e085708bef16b6fe44aa15,0.7050720642417904,19.543294272522573,-5.480422992589403, p__Acidobacteria
025f59828ceb1b65f728f3c2475e3e48,-2.9713144904132287,-2.822642350406037,8.108359989610843, p__Actinobacteria
029449d55c5c9fd3c2e97b7e67f8798e,-3.3737246592424275,14.384932255120862,-4.0344928174420716, p__Actinobacteria
029a499be11080e47b675974b0d0f9c5,-4.646186960765105,-3.520927626982898,-2.397826930086227, p__Actinobacteria
029f636742cbf3b9b9923e1b921c1d3a,-5.550844561632759,2.2100739848748168,2.6742155707203956, p__Actinobacteria
02a2e03300af8f204dd58f7a641ca5ee,-1.579139940686326,3.7680286780308956,3.9769206332121834, p__Actinobacteria
02c6f1135b9f2c3df757bfdec976ecc4,4.596978174181064,-9.482118235430004,-4.248620306839801, p__Actinobacteria
02c8c2ee1e3a588ebab71ae15771f92a,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Actinobacteria
02e634c7228f9a4af1992299701ee034,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Proteobacteria
030c50710e182968b94bd736f885c883,3.4523181884112226,6.96000623222243,-1.0304159876391266, p__Proteobacteria
03300e188f6fb71b3d18d6965fd75f27,-5.217012666956041,-3.138610743728636,4.401994123147271, p__Verrucomicrobia
03440714f6990d32b07e7b1c1eef1d37,4.800629762638311,0.42164352497379265,-7.305867867740922, p__Proteobacteria
0353f3596c7f645a1c38b88172d95481,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Bacteroidetes
035ebc11a14919268684a0eff75a86b5,-4.117435958281844,13.166059425242619,-4.592377097607413, p__Acidobacteria
0361b43590cd1db7729d58fa83dedc92,-4.701861888850961,-1.3300843726625333,6.573262182990223, p__Proteobacteria
0367d5e7a3f142c09efbf34b0a33fd18,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Proteobacteria
036c13ad80113fea3d00b302da1cdd74,-1.7212703664851876,2.4941602436026447,3.87778003671806, p__Verrucomicrobia
03a247858b9a85cf056c7adad3e70706,13.576719454915427,9.125861138623003,4.898798446375725, p__Actinobacteria
03b7d94a880b5aec1a38da31ae3e3444,-8.54154289074844,-4.017235740975342,3.2331460853149343, p__Actinobacteria
03daa258784ab96d32e899703fa1fa91,-7.345099341237674,-2.5279277998032956,-1.379878940892168, p__Acidobacteria
03e9f3f713f6249042fb50347522f4c6,4.686481498943711,6.679803842198859,0.9669324279279343, p__Verrucomicrobia
03eb5a4021aac9cd1f7a33cf1c51b37c,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Acidobacteria
03edc8112ed210bfff6ef6ac6cbc129f,1.781792652301424,-8.73433523291662,-5.76360307116684, p__Acidobacteria
040087514af11595bae2e53aedad8c1b,6.472893388662973,9.028628141943937,-0.8653067721044793, p__Verrucomicrobia
0424148f458829ec4d0bf0961bdc7959,7.287255852423223,6.0148505581905924,4.571144298236685, p__Planctomycetes
0428dca104af7bb14b414c8ee5f9b00b,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Acidobacteria
043516ee0fdaeb5b8a4f2307d7d09ca7,16.183699498577024,-1.1625892639701774,14.092438458692458, p__Acidobacteria
044f5bd157e482c4dc9f3ba4be2f7e4b,27.848990376961552,5.951696323766838,12.984164851368856, p__Planctomycetes
0488e2ae56faa7c977cb95b8dd3ea08c,-4.646186960765105,-3.520927626982898,-2.397826930086227, p__Acidobacteria
04897965f4f55e273b0823fb04cc1ad3,4.280705260415465,10.589559504002048,-0.6349382619417555, p__Actinobacteria
04ab7b1b460d21d85ee1bb8c904f71ad,-1.2221185450398753,-0.7175646131384933,9.35439947906228, p__Actinobacteria
04ac983ee2260a8c5f0cfba0f0b35b46,-7.699909813638329,-8.978425412505503,-2.4119713851169062, p__Planctomycetes
04af3cc7026de09344b9541f1acdbd46,-7.345099341237674,-2.5279277998032956,-1.379878940892168, p__Actinobacteria
04b352d3bdf0fef7d84abd3288d959b2,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Acidobacteria
04be2fb4fafe8579286100db64e25680,-11.601846009234142,-6.298713686931197,0.26977954147582117, p__Acidobacteria
04c0ba8e3837a510ecf9b4705c9b81c4,0.899194784796213,-8.712746815523113,-5.078553689910608, p__Actinobacteria
04c6e8f96aebd71672ad3045a4947bb5,16.78685056622521,10.446950367776255,5.233763120445046, p__Actinobacteria
04c80f6eb5e911c5afdd2a905b98b82c,-3.084175199114576,-7.231398418854075,-2.925187524296219, p__Bacteroidetes
04d0183afe9ce5e52dfc199968d012a2,-7.121057273263799,-8.762135860368891,-2.44430638269735, p__Verrucomicrobia
04d54b02a84a5a9f6f8c890af36a0791,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Acidobacteria
04e5c2cce0bb51fe028d008995ecef59,16.183699498577024,-1.1625892639701774,14.092438458692458, p__Acidobacteria
055cdfc27317fbca5501502bc12879e7,-5.47691386594609,-0.6263117528891795,-1.841389040855022, p__Actinobacteria
055d5e75311d2b96ea2ab576da9509f1,3.041466268133779,-10.94555952631319,-6.573704254674918, p__Actinobacteria
055ecb6a4804378091899b9f4a6dd615,-8.802417612172261,-3.655641469933802,0.821136257276799, p__Actinobacteria
058ac5b8ac824dcecc71be222149ef73,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Planctomycetes
0593b516f7f7eeb3e8d1157f13c98347,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Acidobacteria
05a474c28f0e148790300b5ee8b94d25,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Proteobacteria
05aa7bff00e728607ff15ff3b7f4f15b,-10.836782877582989,-8.538856461596506,-1.875849726195081, p__Firmicutes
05c147b71b757e88410b4b0c97bb784d,-4.646186960765105,-3.520927626982898,-2.397826930086227, p__Acidobacteria
05c48561e5385600ecca41cdb1e00e01,-3.084175199114576,-7.231398418854075,-2.925187524296219, p__Acidobacteria
05cff5851cf7ff3be1a5f5015081e2a7,0.2970516913572204,-9.509391263165089,-4.073378067260294, p__Actinobacteria
05d210487d4335112789a0867b1f2240,1.4379638117768563,4.368859052825968,4.354978534612583, p__Actinobacteria
05ec38de3e97cb9091f67cc88e70d3a7,-7.345099341237674,-2.5279277998032956,-1.379878940892168, p__Acidobacteria
05f686a4c20d3c06d76662b4d65ea763,-9.901330294509531,-5.076129779540808,-0.27717291285822465, p__Actinobacteria
061f966a486261daa0f3443e3ad8bc1d,4.596978174181064,-9.482118235430004,-4.248620306839801, p__Proteobacteria
064bfc4abed941b4ff8077e7232f3125,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Actinobacteria
0662f53782872b319cb37ef74837694c,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Actinobacteria
067567894c3c480b417540d3072492e2,4.280705260415465,10.589559504002048,-0.6349382619417555, p__Actinobacteria
068cdf5a4903d0109295bd32a81e0791,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Acidobacteria
06baa3d441d7760486f1e73aed1a02f2,8.064630817931151,-2.6157849896701686,-7.930045855656689, p__Actinobacteria
06c964bb6397a68ece86936058a56ebf,-1.1576539832908246,-2.7910485697435474,8.54780685452603, p__Proteobacteria
06ef575fd6d3e36f2667638b5a1b7cf8,-10.836782877582989,-8.538856461596506,-1.875849726195081, p__Acidobacteria
0705ce285c467953c8f0626727bf9466,-8.802417612172261,-3.655641469933802,0.821136257276799, p__Proteobacteria
073ce0ad41ebb229e62b7c5b39b1a53c,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Proteobacteria
074c04f5ee38fc872ab80c67980e0f55,-12.119866500956586,-7.970582273372443,-0.6357635216082881, p__Firmicutes
0752e7529164cadcfa3bfa2f21cb19de,3.9981503565577223,4.354014964372398,4.820384578369412, p__Actinobacteria
07868b5362b795d6f374bce6d9612cb2,14.207723122734476,-0.5210400417474427,13.368994954039511, p__Verrucomicrobia
07b2cef1d6c71220ca95f1dece3dae88,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Acidobacteria
07c00b1451dec73a391658ffe3cd3242,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Planctomycetes
07f0c565507cf48309fd1562c9fd3e9c,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Proteobacteria
07fb05e4589575c3d06414a1b606cf78,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Proteobacteria
0810098753757ff83e761785100c52df,-7.345099341237674,-2.5279277998032956,-1.379878940892168, p__Actinobacteria
0817acffdf382f6d2a27c0d14cda4e46,11.676742876220143,-1.4497459186156714,13.138876288944822, p__Proteobacteria
081d8a633a023eeba18f66d964e5fbcd,2.972850580443327,-3.4155522591021863,-0.30716030523398885, p__Bacteroidetes
08287fba33dd8e8b67a8300d4cd616ef,0.39440260539216776,-1.939441780856357,9.688010722496804, p__Acidobacteria
08655a204efd6327d8868cc31eb02e20,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Proteobacteria
0865be6014413b94391ad9fb2702ddcd,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Actinobacteria
087a30f64d3c04878d92caa517ba0415,16.183699498577024,-1.1625892639701774,14.092438458692458, p__Actinobacteria
08862751de4bc652a3684a6b9d3476cb,-4.646186960765105,-3.520927626982898,-2.397826930086227, p__Actinobacteria
